"...1","Year","State","State ANSI","Value","CV (%)","Type","Condition","Metric"
311,2019,"IDAHO","16",26380,NA,"","SALES"," $"
312,2019,"IDAHO","16",100,NA,"","SALES"," CWT"
313,2019,"IDAHO","16",6,"39.8"," FRESH MARKET","SALES",""
314,2019,"IDAHO","16",26380,"59.6"," FRESH MARKET","SALES"," $"
315,2019,"IDAHO","16",100,"38.9"," FRESH MARKET","SALES"," CWT"
316,2019,"ILLINOIS","17",2,"24.6","","SALES",""
317,2019,"ILLINOIS","17",NA,NA,"","PRODUCTION"," CWT"
318,2019,"ILLINOIS","17",NA,NA,"","SALES"," $"
319,2019,"ILLINOIS","17",NA,NA,"","SALES"," CWT"
320,2019,"ILLINOIS","17",2,"24.6"," FRESH MARKET","SALES",""
321,2019,"ILLINOIS","17",NA,NA," FRESH MARKET","SALES"," $"
322,2019,"ILLINOIS","17",NA,NA," FRESH MARKET","SALES"," CWT"
323,2019,"INDIANA","18",5,"24.6","","SALES",""
324,2019,"INDIANA","18",288,"56.2","","PRODUCTION"," CWT"
325,2019,"INDIANA","18",128882,"59.9","","SALES"," $"
326,2019,"INDIANA","18",288,"56.2","","SALES"," CWT"
327,2019,"INDIANA","18",5,"24.6"," FRESH MARKET","SALES",""
328,2019,"INDIANA","18",128882,"59.9"," FRESH MARKET","SALES"," $"
329,2019,"INDIANA","18",288,"56.2"," FRESH MARKET","SALES"," CWT"
330,2019,"IOWA","19",8,"38.0","","SALES",""
331,2019,"IOWA","19",70,"59.2","","PRODUCTION"," CWT"
332,2019,"IOWA","19",32295,"66.6","","SALES"," $"
333,2019,"IOWA","19",70,"59.2","","SALES"," CWT"
334,2019,"IOWA","19",8,"38.0"," FRESH MARKET","SALES",""
335,2019,"IOWA","19",32295,"66.6"," FRESH MARKET","SALES"," $"
336,2019,"IOWA","19",70,"59.2"," FRESH MARKET","SALES"," CWT"
337,2019,"KANSAS","20",1,"69.8","","SALES",""
338,2019,"KANSAS","20",NA,NA,"","PRODUCTION"," CWT"
339,2019,"KANSAS","20",NA,NA,"","SALES"," $"
340,2019,"KANSAS","20",NA,NA,"","SALES"," CWT"
341,2019,"KANSAS","20",1,"69.8"," FRESH MARKET","SALES",""
342,2019,"KANSAS","20",NA,NA," FRESH MARKET","SALES"," $"
343,2019,"KANSAS","20",NA,NA," FRESH MARKET","SALES"," CWT"
344,2019,"KENTUCKY","21",4,"43.9","","SALES",""
345,2019,"KENTUCKY","21",40,"94.1","","PRODUCTION"," CWT"
346,2019,"KENTUCKY","21",12387,"75.2","","SALES"," $"
347,2019,"KENTUCKY","21",40,"94.1","","SALES"," CWT"
348,2019,"KENTUCKY","21",4,"43.9"," FRESH MARKET","SALES",""
349,2019,"KENTUCKY","21",12387,"75.2"," FRESH MARKET","SALES"," $"
350,2019,"KENTUCKY","21",40,"94.1"," FRESH MARKET","SALES"," CWT"
351,2019,"LOUISIANA","22",1,"30.4","","SALES",""
352,2019,"LOUISIANA","22",NA,NA,"","PRODUCTION"," CWT"
353,2019,"LOUISIANA","22",NA,NA,"","SALES"," $"
354,2019,"LOUISIANA","22",NA,NA,"","SALES"," CWT"
355,2019,"LOUISIANA","22",1,"30.4"," FRESH MARKET","SALES",""
356,2019,"LOUISIANA","22",NA,NA," FRESH MARKET","SALES"," $"
357,2019,"LOUISIANA","22",NA,NA," FRESH MARKET","SALES"," CWT"
358,2019,"MAINE","23",19,"15.7","","SALES",""
359,2019,"MAINE","23",168,"33.3","","PRODUCTION"," CWT"
360,2019,"MAINE","23",62472,"35.4","","SALES"," $"
361,2019,"MAINE","23",168,"33.4","","SALES"," CWT"
362,2019,"MAINE","23",19,"15.7"," FRESH MARKET","SALES",""
363,2019,"MAINE","23",62472,"36.0"," FRESH MARKET","SALES"," $"
364,2019,"MAINE","23",168,"33.8"," FRESH MARKET","SALES"," CWT"
365,2019,"MARYLAND","24",13,"15.7","","SALES",""
366,2019,"MARYLAND","24",158,"33.3","","PRODUCTION"," CWT"
367,2019,"MARYLAND","24",50234,"35.4","","SALES"," $"
368,2019,"MARYLAND","24",158,"33.4","","SALES"," CWT"
369,2019,"MARYLAND","24",13,"15.7"," FRESH MARKET","SALES",""
370,2019,"MARYLAND","24",NA,NA," FRESH MARKET","SALES"," $"
371,2019,"MARYLAND","24",NA,NA," FRESH MARKET","SALES"," CWT"
372,2019,"MARYLAND","24",2,NA," PROCESSING","SALES",""
373,2019,"MARYLAND","24",NA,NA," PROCESSING","SALES"," $"
374,2019,"MARYLAND","24",NA,NA," PROCESSING","SALES"," CWT"
375,2019,"MASSACHUSETTS","25",14,"15.7","","SALES",""
376,2019,"MASSACHUSETTS","25",485,"33.3","","PRODUCTION"," CWT"
377,2019,"MASSACHUSETTS","25",144129,"35.4","","SALES"," $"
